open;high
8.600000381;8.736000061
8.706000328;9.06000042
9.149999619;9.237999916
9.102000237;9.25
9.180000305;9.590000153
9.654000282;10.07499981
9.779999733;9.82199955
9.328000069;9.42800045
9.020000458;9.026000023
8.5;8.937999725
8.586000443;8.760000229
8.539999962;8.680000305
8.409999847;8.487999916
8.175999641;8.251999855
8.25;8.416000366
8.244000435;8.251999855
8.220000267;8.38599968
8.270000458;8.359999657
7.84800005;8.039999962
8.100000381;8.121999741
7.769999981;7.914000034
7.843999863;7.920000076
7.828000069;8.008000374
7.955999851;8.109999657
8.029999733;8.043999672
8;8.13599968
7.940000057;7.972000122
7.800000191;7.852000237
7.788000107;7.840000153
7.5;7.697999954
7.763999939;7.854000092
7.699999809;7.986000061
8;8.07199955
7.981999874;8.076000214
7.987999916;8.012000084
7.828000069;7.828000069
7.857999802;7.927999973
7.849999905;7.923999786
7.869999886;7.869999886
7.5;7.544000149
7.360000134;7.360000134
7.196000099;7.274000168
7.099999905;7.122000217
7;7.03000021
6.840000153;6.869999886
6.579999924;6.71600008
6.762000084;6.964000225
7;7.107999802
7;7.019999981
6.791999817;6.829999924
6.751999855;6.900000095
6.874000072;7.294000149
7.070000172;7.236000061
7.179999828;7.230000019
7.039999962;7.041999817
6.96600008;7.035999775
6.820000172;6.923999786
6.734000206;6.820000172
6.703999996;6.78399992
6.699999809;6.730000019
6.68599987;6.949999809
6.949999809;7.058000088
6.769999981;6.941999912
6.84800005;6.96600008
6.958000183;6.986000061
6.980000019;7.047999859
6.728000164;6.756000042
6.645999908;6.699999809
6.453999996;6.579999924
6.43200016;6.645999908
6.521999836;6.688000202
6.690000057;6.690000057
6.329999924;6.480000019
6.412000179;6.546000004
6.440000057;6.447999954
6.443999767;6.489999771
6.251999855;6.480000019
6.440000057;6.584000111
6.5;6.622000217
6.552000046;6.552000046
6.282000065;6.282000065
6.15199995;6.366000175
6.234000206;6.300000191
6;6.084000111
5.964000225;5.987999916
5.842000008;5.929999828
5.886000156;5.889999866
5.662000179;5.822000027
5.768000126;5.800000191
5.5;5.521999836
5.593999863;5.789999962
5.769999981;6.052000046
5.989999771;6.061999798
6.099999905;6.297999859
6.300000191;6.423999786
6.297999859;6.300000191
6.222000122;6.320000172
6.081999779;6.179999828
6.038000107;6.056000233
5.986000061;6.001999855
